CampaignID,Platform,AdType,AgeGroup,Budget,DurationDays,Impressions,Clicks,Conversions,Cost,Revenue,CTR,CPC,ROI
1,Instagram,Video,45-60,286,15,17160,279,75,288,3356.71,0.016258741258741258,1.032258064516129,10.655229051078734
2,TikTok,Carousel,18-24,4493,12,170734,9569,596,4556,11104.85,0.05604624737896377,0.47612080677186747,1.437411643472606
3,Facebook,Image,18-24,4775,22,195775,11830,1274,4803,48498.53,0.060426510024262546,0.40600169061707525,9.09755022570627
4,Instagram,Image,18-24,1590,21,38160,3424,939,1705,32442.15,0.08972746331236897,0.49795560747663553,18.027656518897185
5,Instagram,Image,25-34,3993,22,311454,22789,2599,4003,166592.8,0.07316971366558143,0.17565492123392865,40.61698635467993
6,TikTok,Image,45-60,413,11,8673,723,76,509,5032.87,0.08336215842269111,0.7040110650069157,8.887754659894165
7,Facebook,Image,18-24,2418,7,118482,11312,956,2519,19826.39,0.09547441805506322,0.2226838755304102,6.870738423770452
8,Facebook,Image,45-60,335,28,22110,2318,613,520,21858.71,0.10483943916779738,0.22433132010353754,41.03598355854345
9,Instagram,Image,25-34,198,5,11484,511,89,352,3215.99,0.044496691048415186,0.6888454011741683,8.136335776216795
10,Google,Video,18-24,4087,17,94001,6503,1422,4107,29291.4,0.06918011510515845,0.6315546670767338,6.132066128414392
11,Instagram,Carousel,35-44,4601,24,239252,24502,2689,4639,177182.9,0.1024108471402538,0.18933148314423312,37.194202038324114
12,Instagram,Image,25-34,1816,20,58112,6906,1654,1917,98422.9,0.11883948237885462,0.2775847089487402,50.342147029042934
13,Instagram,Video,35-44,4945,9,192855,20798,4991,4990,116423.68,0.10784267973347852,0.23992691604962016,22.331399735189386
14,Instagram,Video,45-60,1062,14,77526,3943,505,1127,18013.62,0.050860356525552715,0.28582297742835405,14.983690744268678
15,TikTok,Carousel,45-60,2881,26,74906,2357,359,2971,6248.88,0.0314661041839105,1.2605006364022062,1.103291913377382
16,Facebook,Image,25-34,2557,12,86938,5549,568,2720,30657.49,0.06382709517127148,0.4901784105244188,10.271137610448319
17,TikTok,Carousel,45-60,1573,6,66066,6050,1779,1683,32904.45,0.09157509157509157,0.2781818181818182,18.551067001806068
18,TikTok,Image,35-44,2835,17,93555,6004,1269,2916,100270.53,0.06417615306504196,0.48567621585609594,33.38632791459241
19,TikTok,Video,18-24,2606,19,109452,6911,1960,2728,126709.58,0.06314183386324598,0.3947330342931558,45.4477934923661
20,Instagram,Video,18-24,3775,19,143450,14661,1845,3967,68849.31,0.10220285813872429,0.27058181570152107,16.355510128251314
21,Google,Video,18-24,4626,26,337698,16801,4124,4816,208259.84,0.04975155316288518,0.2866496041902268,42.24332142242609
22,Facebook,Video,25-34,1651,16,79248,8287,2001,1749,147661.65,0.1045704623460529,0.21105345722215518,83.42632830041873
23,Google,Carousel,45-60,2458,12,184350,10092,2249,2492,109721.85,0.054743694060211553,0.24692826000792706,43.02963471617773
24,TikTok,Image,35-44,390,12,15210,701,204,548,4531.84,0.04608809993425378,0.7817403708987162,7.269778076209488
25,TikTok,Image,45-60,2867,20,137616,8248,1223,3022,44650.79,0.059934891291710264,0.3663918525703201,13.775246284349125
26,Google,Carousel,45-60,2546,6,109478,10276,849,2648,58598.1,0.09386360730009682,0.2576878162709225,21.129191589394928
27,Google,Image,45-60,4980,23,184260,4396,958,5108,52780.92,0.023857592532291326,1.1619654231119199,9.332992335995257
28,Google,Video,18-24,1775,26,51475,1626,377,1799,20942.62,0.03158814958717824,1.1063960639606396,10.641254309376869
29,TikTok,Image,35-44,1739,4,104340,11963,2318,1781,163830.45,0.1146540157178455,0.14887570007523196,90.98790245245046
30,TikTok,Video,35-44,3317,6,252092,7387,751,3400,54506.16,0.029302794217983912,0.4602680384459185,15.031224597295257
31,Facebook,Carousel,45-60,4456,11,120312,8716,1535,4650,114181.71,0.0724449763947071,0.5335016062413951,23.555206846817295
32,Facebook,Image,18-24,311,1,13995,1031,132,501,2196.41,0.0736691675598428,0.4859359844810863,3.3840450013156937
